db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
81f62c46-76d4-4808-98b9-f2cd4d54d1e9,V-6 (after 1-3 of Nat. Turn),Quickstep,Silver/Gold,Yes,V-6 (after 1-3 of Nat. Turn),Silver,3,0,http://www.dancecentral.info/ballroom/international-style/quickstep/v6,docs/figures steps/parsed/chunk_8/quickstep_v6.json
bc91249e-207b-4f2d-92de-a8b57843e652,Whisk,Quickstep,Silver/Gold,No,,,,,,
57ad04d7-4831-4d9c-8827-00e0d7041480,Zig-Zag Back Lock Running Finish,Quickstep,Silver/Gold,Yes,Zig-Zag Back Lock Running Finish,Bronze,12,27,https://www.dancecentral.info/ballroom/international-style/quickstep/zig-zag-back-lock-and-running-finish,docs/figures steps/parsed/chunk_5/quickstep_zig-zag-back-lock-and-running-finish.json
7036c7f1-a2d9-4b8c-b673-0d24524951d3,Advanced Opening Out Movement,Rumba,Silver/Gold,No,,,,,,
34d1628d-afd8-4a1c-9830-4e4d1f0161ef,Aida (4 Endings),Rumba,Silver/Gold,Yes,Aida (4 Endings),Silver,6,2,https://www.dancecentral.info/ballroom/international-style/rumba/aida,docs/figures steps/parsed/chunk_2/rumba_aida.json
f5461740-466c-4509-9537-323faf345500,Alemana,Rumba,Silver/Gold,Yes,Alemana,Bronze,9,5,https://www.dancecentral.info/ballroom/international-style/rumba/alemana,docs/figures steps/parsed/chunk_2/rumba_alemana.json
ff512c83-9ab7-4ce8-94f5-8d44325a23df,Alemana Development (R to R Hand Hold),Rumba,Silver/Gold,No,,,,,,
e2a6d40f-47fc-4ab7-a71f-a56a8f15ac26,"Basic Movements (Closed, Open, In Place and Alternative)",Rumba,Silver/Gold,No,,,,,,
5c828e99-a3b3-427f-a1ea-2e1fc91716d5,Closed Hip Twist,Rumba,Silver/Gold,Yes,Closed Hip Twist,Bronze,6,3,https://www.dancecentral.info/ballroom/international-style/rumba/closed-hip-twist,docs/figures steps/parsed/chunk_2/rumba_closed-hip-twist.json
a1a898c9-f142-4475-a76d-d2bdddbc7be0,Cuban Rocks,Rumba,Silver/Gold,Yes,Cuban Rocks,Newcomer,3,3,http://www.dancecentral.info/ballroom/international-style/rumba/cuban-rocks,docs/figures steps/parsed/chunk_5/rumba_cuban-rocks.json
bc2c329b-6159-441f-af4c-b7e9fd9c8d1f,Cucarachas (LF and RF),Rumba,Silver/Gold,Yes,Cucarachas (LF and RF),Newcomer,12,12,https://www.dancecentral.info/ballroom/international-style/rumba/cucarachas,docs/figures steps/parsed/chunk_2/rumba_cucarachas.json
a15c2cc8-7237-402b-9693-38925b08e5ea,Fan,Rumba,Silver/Gold,Yes,Fan,Bronze,5,5,http://www.dancecentral.info/ballroom/international-style/rumba/fan,docs/figures steps/parsed/chunk_5/rumba_fan.json
15fc7c4e-cf31-4673-8137-3ae59008cc5a,Fan Development,Rumba,Silver/Gold,Yes,Fan Development,Bronze,10,11,https://www.dancecentral.info/ballroom/international-style/rumba/fan,docs/figures steps/parsed/chunk_3/rumba_fan.json
10b855f3-b4a1-4f0b-b8ea-dcb5c1aa0ce7,Fencing,Rumba,Silver/Gold,Yes,Fencing,Gold,12,8,https://www.dancecentral.info/ballroom/international-style/rumba/fencing,docs/figures steps/parsed/chunk_3/rumba_fencing.json
cdfb2215-1a1c-4760-bf07-9061b5eb6b83,Hand to Hand (To Right and Left SP),Rumba,Silver/Gold,Yes,Hand to Hand (To Right and Left SP),Newcomer,2,2,https://www.dancecentral.info/ballroom/international-style/rumba/hand-to-hand,docs/figures steps/parsed/chunk_3/rumba_hand-to-hand.json
7bd31698-5b98-4287-ab0a-7da157898022,"Hip Twists (Advanced, Continuous and Circular)",Rumba,Silver/Gold,Yes,"Hip Twists (Advanced, Continuous and Circular)",Gold,12,19,https://www.dancecentral.info/ballroom/international-style/rumba/advanced-hip-twists,docs/figures steps/parsed/chunk_2/rumba_advanced-hip-twists.json
aeb5342e-3065-459f-9b9b-d2f7ce5613ee,Hockey Stick,Rumba,Silver/Gold,Yes,Hockey Stick,Bronze,11,0,https://www.dancecentral.info/ballroom/international-style/rumba/hockey-stick,docs/figures steps/parsed/chunk_3/rumba_hockey-stick.json
