id,name,dance_type_id,dance_class,predefined,alternative_timing,starting_foot_leader,ending_foot_leader,starting_foot_follower,ending_foot_follower,starting_position,ending_position,preceding_figure_names,following_figure_names
af643cd4-21fd-40b4-ba16-08c61bd76fd0,Three Step Turn,e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,LF,LF,RF,RF,,,"Closed Rocks, Natural Basic Movement, Open Rocks, Promenade And Counter Promenade Runs, Reverse Basic Movement, Side Basic Movement",Samba Locks
0e360264-6622-452a-8b6b-342e834300d8,Shadow Travelling Volta,e182e966-64b2-4aaa-9909-da1aceaed6ba,H,true,,,,,,,,"Cruzados Walks and Locks, Foot Change 1: Closed Position to Right Shadow Position, Foot Change 8: Right Side Position to Right Shadow Position, Maypole, Natural Basic Movement, Reverse Basic Movement, Samba Walk in PP: LF, Shadow Circular Volta with LF, Shadow Traveling Volta commenced with LF, Side Basic Movement, Traveling Bota Fogos Forward, Cruzados Walks and Locks, Foot Change 3: Promenade or Open Promenade to Right Shadow Position, Natural Basic Movement, Reverse Basic Movement, Samba Walk in PP: RF, Shadow Circular Volta with RF, Shadow Traveling Volta commenced with RF, Side Basic Movement, Traveling Bota Fogos Forward","Samba Walk in PP: LF (same foot), Traveling Bota Fogos Forward (LF), Shadow Traveling Volta commenced with LF, Shadow Circular Volta with LF, Contra Bota Fogos (Same Foot Bota Fogo to R Contra Postion), Cruzados Walks and Locks (LF), Foot Change 2: Right Shadow Position To Closed Position, Foot Change 4: Right Shadow Position to Promenade Position, Samba Walk in PP: RF (same foot), Traveling Bota Fogos Forward (RF), Shadow Traveling Volta commenced with RF, Shadow Circular Volta with RF, Contra Bota Fogos (Same Foot Bota Fogo to R Contra Postion), Cruzados Walks and Locks (RF)"
c9ad1bcc-2d27-443e-a0f2-3e977b6bcfc4,Contra Bota Fogos,e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,RF,LF,RF,LF,,,"Foot Change 5: Promenade Postion to Right Contra Position, Maypole, Natural Basic Movement, Reverse Basic Movement, Round About, Shadow Traveling Volta commenced with LF, Shadow Traveling Volta commenced with RF, Side Basic Movement, Traveling Bota Fogos Forward","Foot Change 6: R Contra Position to Promenade Position (from R Contra Position to PP), Foot Change 7: R Contra Position to Open Counter Promenade Position (from R Contra Position to Open CPP), Round About (Roundabout to R; or Roundabout to L following RF Contra Bota Fogo)"
b77e5904-ef99-44e3-8307-316bf769a51b,Argentine Crosses,e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,LF,RF,RF,LF,,,"Criss Cross Voltas, Natural Basic Movement, Reverse Basic Movement, Samba Walk: Side, Samba Walk: Stationary, Side Basic Movement, Solo Spot Volta to Left (Lady to Right), Solo Spot Volta to Right (Lady to Left), Whisk To Left, Whisk To Right","Open Rocks (Argentine Crosses ended facing LOD, with LF Stationary Walk and Lady's underarm turning ending), Closed Rocks (Argentine Crosses ended facing LOD, with LF Stationary Walk and Lady's underarm turning ending), Corta Jaca (Lady's underarm turn ending to ARgentine Crosses near corner, then followed by Corta Jaca), Whisk To Left (with or without Lady's underarm turn), Samba Walk: Stationary (LF Stationary Samba Walk, leading Lady underarm into Spot Volta to R, releasing hold with RH; or RF Stationary Samba Walk, leading Lady underarm into Spot Volta to L, releasing hold with RH), Whisk To Right (with or without Lady's underarm turn), Solo Spot Volta to Left (Lady to Right)"
db966259-5e28-42c4-af8c-b0718022a4d7,Reverse Top,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,RF,RF,LF,LF,,,"Advanced Hip Twists, Basic Movements: Closed, Closed Hip Twist, Curl, Natural Opening Out Movement, Open Hip Twist, Spiral","Basic Movements: Closed, Basic Movements: Open, Fan, Opening Out From Reverse Top (from step 6), Aida (from step 6), Spiral (from step 6 of Reverse Top, follow with 4-6 of Spiral, after leading Lady into her spiral turn on step 6 of Spiral Turn)"
610e8d8a-6157-4321-965d-9fa5b078f9e8,Three Alemanas,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,LF,LF,RF,Fan Position,,"Advanced Hip Twists, Closed Hip Twist, Curl, Fan, Hockey Stick, Open Hip Twist, Opening Out From Reverse Top, Progressive Walks Forward, Spiral, Spot or Switch Turn to L (Lady to R), Three Threes","Circular Hip Twists, Continuous Hip Twists, Advanced Hip Twists, Sliding Doors (Man turns body slightly to R on last step to lead Lady fwd towards his R side, then turns her R to RSP. Lady LF fwd inline with RF then 1/2 R on LF to end LF back. Man LF slightly leftwards on the second to last step), Rope Spinning, Spiral, Closed Hip Twist, Natural Opening Out Movement, Cuban Rock LF, Side Step To Right commenced with LF (end to side), Side Step To Left commenced with LF, Hand To Hand RSP, New York LSP, Basic Movements: Closed, Basic Movements: Open, Fan, Opening Out To Right And Left (after lady stepping to side at end of Three Alemanas)"
2f37240e-04c2-4617-90a2-695746d37b82,Three Threes,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,Open Position,,"Advanced Hip Twists, Basic Movements: Open, Closed Hip Twist, Curl, Hockey Stick, Open Hip Twist, Progressive Walks Forward, Spiral, Spot or Switch Turn to L (Lady to R)","Basic Movements: Closed, Basic Movements: Open, Fan, Advanced Hip Twists, Continuous Hip Twists, Circular Hip Twists, Alemana (when ending in Fan Position), Hockey Stick (when ending in Fan Position), Sliding Doors (when ending in Fan Position), Fencing (when ending in Fan Position), Three Alemanas (when ending in Fan Position)"
5d083b06-95bc-48f2-b620-e8a165df3a32,Sliding Doors,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,LF,RF,LF,,,"Advanced Hip Twists, Alemana, Closed Hip Twist, Curl, Fan, Open Hip Twist, Opening Out From Reverse Top, Rope Spinning, Spiral, Three Alemanas, Three Threes","Progressive Walks Forward (in Right Shadow Position, hold 2 or 3 (Kiki Walks)), Spiral"
8f3a2fdf-d312-4b02-b88a-392d650186a6,American Spin,f9053836-24d1-433b-a228-8ef0d62e1865,H,true,,LF,LF,LF,LF,,,"American Spin, Catapult, Change of Hands Behind Back, Change of Places Left to Right, Change of Places Right to Left, Chugging, Fallaway Throwaway, Hip Bump, Rolling Off the Arm, Shoulder Spin, Simple Spin, Spanish Arms, Stop and Go","Change of Places Left to Right (with change of hands; or when American Spin ends with L to R hand hold), American Spin, Rolling Off the Arm (with R to R hand hold), Miami Special, Shoulder Spin, Chugging, Catapult, Link (when American Spin ends with L to R hand hold), Change of Hands Behind Back (when American Spin ends with L to R hand hold), Hip Bump (when American Spin ends with L to R hand hold), Stop and Go (when American Spin ends with L to R hand hold)"
4c06d2f3-ee93-4e7a-a778-f876ea6d56cd,Change of Hands Behind Back,f9053836-24d1-433b-a228-8ef0d62e1865,H,true,,RF,RF,LF,LF,,,"American Spin, Catapult, Change of Hands Behind Back, Change of Places Left to Right, Change of Places Right to Left, Chugging, Fallaway Throwaway, Hip Bump, Rolling Off the Arm, Shoulder Spin, Simple Spin, Spanish Arms, Stop and Go, Windmill","Link, Change of Places Left to Right, Change of Hands Behind Back, Hip Bump, American Spin (from L to R hand hold), Stop and Go"
9e774387-2b35-4eae-935e-d565afd94ba0,Catapult,f9053836-24d1-433b-a228-8ef0d62e1865,F,true,,LF,LF,LF,LF,,,"American Spin, Change of Places Left to Right, Change of Places Right to Left, Chugging, Rolling Off the Arm, Shoulder Spin","Change of Places Left to Right (when Catapult ends in R to R hand hold; or when Catapult ends in L to R hand hold), American Spin (when Catapult ends in R to R hand hold), Rolling Off the Arm (when Catapult ends in R to R hand hold), Miami Special (when Catapult ends in R to R hand hold), Shoulder Spin (when Catapult ends in R to R hand hold), Chugging (when Catapult ends in R to R hand hold), Link (when Catapult ends in L to R hand hold), Change of Hands Behind Back (when Catapult ends in L to R hand hold), Hip Bump (when Catapult ends in L to R hand hold), Stop and Go (when Catapult ends in L to R hand hold)"
969d4ae8-237c-460a-9049-969370abd734,Chicken Walks,f9053836-24d1-433b-a228-8ef0d62e1865,F,true,,LF,RF,RF,LF,,,Fallaway Throwaway,Fallaway Throwaway (step 3-8 Fallaway Throwaway started with L to R hand hold.)
11791da3-a607-47a1-bd2b-54007f7de92a,Chugging,f9053836-24d1-433b-a228-8ef0d62e1865,F,true,,LF,LF,LF,LF,,,"American Spin, Catapult, Change of Places Left to Right, Change of Places Right to Left, Rolling Off the Arm, Shoulder Spin","Change of Places Left to Right (when Chugging ended with R to R hand hold; or when Chugging ended with L to R hand hold), American Spin (when Chugging ended with R to R hand hold; or when Chugging ended with L to R hand hold, dance American Spin with L to R handhold), Rolling Off the Arm (when Chugging ended with R to R hand hold), Miami Special (when Chugging ended with R to R hand hold), Shoulder Spin (when Chugging ended with R to R hand hold), Catapult (when Chugging ended with R to R hand hold), Link (when Chugging ended with L to R hand hold), Change of Hands Behind Back (when Chugging ended with L to R hand hold), Hip Bump (when Chugging ended with L to R hand hold), Stop and Go (when Chugging ended with L to R hand hold)"
